HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	Predictability.rho	Lower.Predictability.rho	Upper.Predictability.rho	Pval.rho	Lower.pred.interval	Upper.pred.interval	Q	Pval.Q	I2	Lower.I2	Upper.I2	FDR.rho
HMDB0000317	2-Hydroxy-3-methylpentanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.372424662417006	0.23839897960882	0.492529587030464	0.000000227232945449952	-0.569263516704256	1.35173407411799	0.698513123940486	0.705212176432585	0	0	0.702167185738493	0.00000182454688552461
HMDB0000039	Butyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.325169782234268	0.230737605063609	0.413533635172903	0.000000000108094378036778	0.192290258372425	0.482544479376487	4.81086351787717	0.439396165717864	0	0	0.736270157491918	0.00000000147548826020202
HMDB0004072	4-Hydroxystyrene	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	3	0.35910428814634	0.0893931161335221	0.579747320561741	0.0100607560190752	-2.80767767773832	3.55939208016327	5.87863945514336	0.0529017040711402	0.659785224921363	0	0.902074439263215	0.0193421576986446
HMDB0000020	p-Hydroxyphenylacetic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	0.240782615486117	0.0578523293893755	0.408069184043655	0.0103243313542232	-0.371981320973901	0.863190776510428	27.4689072742736	0.000118259613478704	0.781571216499778	0.547620961476129	0.894532837734767	0.0197100871307897
HMDB0000779	Phenyllactic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.327137251812953	0.123344132039471	0.504454080614821	0.00202347856949604	-0.542861658478196	1.22209974905544	8.34439082127646	0.0394054036337943	0.640477050481549	0	0.878431157626974	0.00468143770739338
HMDB0000784	Azelaic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.596193807968693	0.510095581077568	0.67046270733582	0.00000000000000000000000000246271426526124	0.371445731721522	1.0029964323175	8.05369162920431	0.153301295558143	0.37916669395821	0	0.753067092503006	0.000000000000000000000000672320994416318
HMDB0000888	Undecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.379142905911352	0.156141508622795	0.565367312093945	0.00120816356407372	-0.463939635010829	1.26205620432661	19.2849807373763	0.000690816825839195	0.792584703377609	0.507442240259851	0.912657745366451	0.00315951985984947
HMDB0000866	N-Acetyl-L-tyrosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	5	0.123079117446407	-0.105684605838529	0.339469992001478	0.291356498717822	-0.687377638617223	0.934790268174088	17.4174133373884	0.00160331231771725	0.770344773789483	0.443278838596005	0.905264023388666	0.342846224784334
HMDB0000806	Myristic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	4	0.179142870774485	-0.0365034383787771	0.378847785626957	0.102879831604197	-0.712587868497772	1.07478186743827	8.4964435235874	0.0367921658597989	0.646911087954442	0	0.880303639552705	0.135029778980509
HMDB0000623	Dodecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	0.3670297339235	0.138327247952993	0.558570050366993	0.00213894504575769	-0.465883888779569	1.23585602847317	34.2453750810641	0.00000212763056950478	0.853994882866249	0.701599658613623	0.928560757905977	0.00490699157556175
