HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	N.Healthy.Datasets	N.Disease.Datasets	Overall.Predictability.rho	Overall.Lower.Predictability.rho	Overall.Upper.Predictability.rho	Overall.Pval.rho	Overall.Lower.pred.interval	Overall.Upper.pred.interval	Overall.Q	Overall.Pval.Q	Overall.I2	Overall.Lower.I2	Overall.Upper.I2	Healthy.rho	Healthy.rho.lower.ci	Healthy.rho.upper.ci	Healthy.Pval	Healthy.I2	Disease.rho	Disease.rho.lower.ci	Disease.rho.upper.ci	Disease.Pval	Disease.I2	Between.Subgroups.Q	Between.Subgroups.Pval	Overall.FDR.rho	Healthy.FDR	Disease.FDR	Between.Subgroups.FDR
HMDB0000317	2-Hydroxy-3-methylpentanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.429191304966039	0.322427346421008	0.525172930651092	0.000000000000514463550935769	0.114010150779488	0.803799772951917	9.86815370645402	0.0790584210115368	0.493319606814609	0	0.798829648469243	0.372424662417006	0.238	0.493	0.000000227232945449952	0	0.473433824342572	0.299	0.617	0.00000102574178486605	0.74	0.904272200016873	0.341638754344383	0.00000000000404221361449532	0.00000151488630299968	0.00000460537127899043	0.971071157456726
HMDB0000039	Butyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.313103227622656	0.21187148245855	0.407687410206603	0.00000000542650475699555	-0.00549580285473533	0.65346027134994	24.0964327283027	0.00734850211498439	0.585000812661603	0.191188910138922	0.787064831762987	0.325169782234268	0.231	0.414	0.000000000108094378036778	0	0.315339384766294	0.125	0.483	0.00145469794229754	0.79	0.0090572461791143	0.924180143526558	0.0000000229582893565196	0.00000000125161911411006	0.00299096773182672	0.989421412154653
HMDB0000020	p-Hydroxyphenylacetic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.179473975558615	0.0524840284425116	0.300751750132468	0.00580332898215873	-0.29296068731614	0.655838894149302	57.0248299283253	0.000000078230499300535	0.789565352231951	0.646325534406831	0.874792371829859	0.240782615486117	0.058	0.408	0.0103243313542232	0.78	0.110349144653943	-0.082	0.295	0.260271903154964	0.82	0.963667449506829	0.326264592984693	0.00773777197621164	0.0186176467043369	0.298228222365063	0.971071157456726
HMDB0000779	Phenyllactic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.307207278668014	0.130376006562586	0.46509656694318	0.00084031063701918	-0.309554495820277	0.944471937014492	38.4055239422877	0.00000253699458055778	0.817734552703435	0.651990620238099	0.904540810650145	0.327137251812953	0.123	0.504	0.00202347856949604	0.64	0.28452465486942	-0.03	0.548	0.075743104244637	0.9	0.0563292715713638	0.812394673731561	0.00128565735876016	0.00449661904332454	0.102796925033812	0.971071157456726
HMDB0000784	Azelaic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.549080022262441	0.491599101282002	0.601797000485336	0.0000000000000000000000000000000000000000000000000000487709725934015	0.418842862281346	0.815283746591492	15.5951781669366	0.111822187781043	0.358776161903617	0	0.684887249391653	0.596193807968693	0.51	0.67	0.00000000000000000000000000246271426526124	0.38	0.514004912458529	0.451	0.572	0.0000000000000000000000000000000000000000181867801329141	0.07	2.44407689771617	0.117969265611732	0.0000000000000000000000000000000000000000000000000107296139705483	0.000000000000000000000000541797138357472	0.00000000000000000000000000000000000000200054581462056	0.971071157456726
HMDB0000888	Undecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.355377735844357	0.172904109250083	0.514265814033329	0.000217048455108179	-0.31982667351071	1.06299763154025	56.4647170846664	0.00000000229002091716182	0.858318602960423	0.75019467234699	0.919642953752494	0.379142905911352	0.156	0.565	0.00120816356407372	0.79	0.316598210712068	-0.024	0.591	0.0678163075216778	0.92	0.106873175556808	0.743732455116137	0.000385085968740318	0.00303799986523988	0.0937842150381936	0.971071157456726
HMDB0000866	N-Acetyl-L-tyrosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.119036539065858	-0.0196986926448572	0.253274287603783	0.0924185928094487	-0.328418367758713	0.567625578317731	27.8268211205294	0.000508322602530587	0.712507585205342	0.431900544705401	0.854511586317922	0.123079117446407	-0.106	0.339	0.291356498717822	0.77	0.12364768277168	-0.058	0.297	0.180534946409944	0.68	0.000014908223714076	0.996919282092852	0.104804589783911	0.332116216155031	0.214690206541555	0.998121644018567
HMDB0000806	Myristic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.186413963342508	0.0810356977033	0.287670833909396	0.000577489218585937	-0.0870059971473548	0.464244875238285	10.3447435552922	0.110864869697509	0.419995288628444	0	0.756183725701957	0.179142870774485	-0.037	0.379	0.102879831604197	0.65	0.174928507429629	0.074	0.272	0.000733522841105823	0	0.00125626181386	0.971725872161883	0.000955245323976737	0.126444485770522	0.00163992322968284	0.989421412154653
HMDB0000623	Dodecanedioic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.356488391351701	0.215285987569473	0.483089767074502	0.00000212913351943682	-0.199906695639165	0.945621203176028	70.9186303151946	0.0000000000816928927383954	0.844892661475398	0.74464864805552	0.905783594717695	0.3670297339235	0.138	0.559	0.00213894504575769	0.85	0.345702027988144	0.143	0.52	0.00108650488573438	0.86	0.021393063296169	0.883713238759051	0.0000055106985208953	0.00470567910066691	0.00232069004719965	0.982800499379551
HMDB0002261	2-Hydroxymyristic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.316537292389226	0.116745949942248	0.491705723768917	0.00227401899661754	-0.367419106445451	1.02300731814498	22.0953605724909	0.000502187201909439	0.773708150921733	0.497167275765259	0.898160961903993	0.166513303942624	0.014	0.311	0.0324123109211384	0	0.422893367463871	0.182	0.616	0.000919960267299319	0.76	3.24401558906944	0.0716847408368336	0.00326983123696639	0.0466059372722251	0.00198422802750833	0.971071157456726
